@relation 'R_data_frame-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R1,2,5,11-weka.filters.unsupervised.attribute.Remove-R5'

@attribute AGE {'\'(-inf-23.6]\'','\'(23.6-29.2]\'','\'(29.2-34.8]\'','\'(34.8-40.4]\'','\'(40.4-46]\'','\'(46-51.6]\'','\'(51.6-57.2]\'','\'(57.2-62.8]\'','\'(62.8-68.4]\'','\'(68.4-inf)\''}
@attribute INCOME {'\'(-inf-22.5]\'','\'(22.5-30]\'','\'(30-37.5]\'','\'(37.5-45]\'','\'(45-52.5]\'','\'(52.5-60]\'','\'(60-67.5]\'','\'(67.5-75]\'','\'(75-82.5]\'','\'(82.5-inf)\''}
@attribute GENDER {M,F}
@attribute MARRIED {0,1}
@attribute OWNHOME {0,1}
@attribute LOCATION {A,B,C,D,E,F,G,H}
@attribute BUY6 numeric
@attribute BUY12 numeric
@attribute BUY18 numeric
@attribute VALUE24 {'\'(-inf-156.7]\'','\'(156.7-252.4]\'','\'(252.4-348.1]\'','\'(348.1-443.8]\'','\'(443.8-539.5]\'','\'(539.5-635.2]\'','\'(635.2-730.9]\'','\'(730.9-826.6]\'','\'(826.6-922.3]\'','\'(922.3-inf)\''}
@attribute MOVED {0,1}
@attribute class {0,1}

@data

'\'(62.8-68.4]\'','\'(30-37.5]\'',M,0,0,A,0,0,0,'\'(-inf-156.7]\'',0,1
'\'(57.2-62.8]\'','\'(37.5-45]\'',F,1,0,A,0,0,1,'\'(443.8-539.5]\'',0,1
'\'(29.2-34.8]\'','\'(60-67.5]\'',M,0,0,A,0,0,0,'\'(-inf-156.7]\'',0,1
'\'(29.2-34.8]\'','\'(67.5-75]\'',F,1,1,A,0,0,0,'\'(-inf-156.7]\'',0,1
'\'(51.6-57.2]\'','\'(30-37.5]\'',F,1,0,A,0,0,0,'\'(156.7-252.4]\'',0,1
'\'(51.6-57.2]\'','\'(30-37.5]\'',M,1,0,A,2,2,2,'\'(348.1-443.8]\'',1,1
'\'(68.4-inf)\'','\'(52.5-60]\'',M,0,1,A,1,2,2,'\'(348.1-443.8]\'',0,1
'\'(23.6-29.2]\'','\'(22.5-30]\'',M,0,1,A,0,0,0,'\'(-inf-156.7]\'',0,1
'\'(62.8-68.4]\'','\'(45-52.5]\'',M,1,0,A,0,1,1,'\'(443.8-539.5]\'',0,1
'\'(29.2-34.8]\'','\'(67.5-75]\'',M,0,0,A,0,1,1,'\'(348.1-443.8]\'',0,1
'\'(40.4-46]\'','\'(-inf-22.5]\'',F,1,0,A,1,1,1,'\'(443.8-539.5]\'',0,1
'\'(46-51.6]\'','\'(60-67.5]\'',M,0,0,A,0,0,0,'\'(-inf-156.7]\'',0,1
'\'(46-51.6]\'','\'(37.5-45]\'',F,1,0,A,0,0,1,'\'(348.1-443.8]\'',0,1
