@relation R_data_frame-weka.filters.unsupervised.attribute.Standardize

@attribute AGE numeric
@attribute INCOME numeric
@attribute GENDER {M,F}
@attribute MARRIED {0,1}
@attribute FICO numeric
@attribute OWNHOME {0,1}
@attribute LOCATION {A,B,C,D,E,F,G,H}
@attribute BUY6 numeric
@attribute BUY12 numeric
@attribute BUY18 numeric
@attribute VALUE24 numeric
@attribute MOVED {0,1}
@attribute class {0,1}

@data

2.336375,-0.813756,M,0,0.705916,0,A,-0.37703,-0.509795,-0.684793,-0.850682,0,1
1.541601,-0.391132,F,1,0.356983,0,A,-0.37703,-0.509795,0.949561,1.102412,0,1
-0.942066,0.997493,M,0,0.880382,0,A,-0.37703,-0.509795,-0.684793,-1.034502,0,1
-0.942066,1.420118,F,1,0.182516,1,A,-0.37703,-0.509795,-0.684793,-1.028758,0,1
1.243561,-0.813756,F,1,-1.108535,0,A,-0.37703,-0.509795,-0.684793,-0.408363,0,1
0.945521,-0.693006,M,1,0.705916,0,A,5.24979,3.909676,2.583916,0.332663,1,1
2.833108,0.816368,M,0,-0.20131,1,A,2.43638,3.909676,2.583916,0.826681,0,1
-1.73684,-1.055256,M,0,-0.236203,1,A,-0.37703,-0.509795,-0.684793,-0.873659,0,1
2.336375,0.031493,M,1,-2.713627,0,A,-0.37703,1.699941,0.949561,0.907102,0,1
-1.339453,1.480493,M,0,0.566343,0,A,-0.37703,1.699941,0.949561,0.361385,0,1
-0.246639,-1.779756,F,1,1.368888,0,A,2.43638,1.699941,0.949561,0.981779,0,1
0.746828,1.118243,M,0,-0.236203,0,A,-0.37703,-0.509795,-0.684793,-0.902381,0,1
0.647481,-0.511882,F,1,-0.30599,0,A,-0.37703,-0.509795,0.949561,0.413085,0,1
-0.047946,-0.994881,M,1,-0.620029,0,A,-0.37703,-0.509795,-0.684793,-0.965569,0,1
0.250094,0.876743,M,1,-0.829389,0,A,-0.37703,-0.509795,-0.684793,-0.24752,0,1
-1.637493,1.299368,F,1,0.880382,1,A,2.43638,1.699941,0.949561,1.016246,0,1
2.336375,-0.149632,M,1,0.252303,1,A,-0.37703,-0.509795,-0.684793,-0.776005,0,1
0.051401,0.333368,F,1,-1.108535,0,A,-0.37703,-0.509795,-0.684793,-0.62665,0,1
1.044868,1.057868,M,1,-1.492362,0,A,-0.37703,-0.509795,0.949561,1.090923,0,1
1.740295,-0.270382,F,1,1.578248,0,A,-0.37703,-0.509795,-0.684793,-0.850682,0,1
-1.4388,1.118243,F,0,-1.317895,0,B,-0.37703,-0.509795,0.949561,-0.103911,0,1
0.150747,-0.874131,F,1,0.287196,0,B,2.43638,1.699941,2.583916,-0.465807,0,1
