@relation 'R_data_frame-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R1,2,5,11-weka.filters.unsupervised.attribute.Remove-R3'

@attribute AGE {'\'(-inf-23.6]\'','\'(23.6-29.2]\'','\'(29.2-34.8]\'','\'(34.8-40.4]\'','\'(40.4-46]\'','\'(46-51.6]\'','\'(51.6-57.2]\'','\'(57.2-62.8]\'','\'(62.8-68.4]\'','\'(68.4-inf)\''}
@attribute INCOME {'\'(-inf-22.5]\'','\'(22.5-30]\'','\'(30-37.5]\'','\'(37.5-45]\'','\'(45-52.5]\'','\'(52.5-60]\'','\'(60-67.5]\'','\'(67.5-75]\'','\'(75-82.5]\'','\'(82.5-inf)\''}
@attribute MARRIED {0,1}
@attribute FICO {'\'(-inf-613.7]\'','\'(613.7-633.4]\'','\'(633.4-653.1]\'','\'(653.1-672.8]\'','\'(672.8-692.5]\'','\'(692.5-712.2]\'','\'(712.2-731.9]\'','\'(731.9-751.6]\'','\'(751.6-771.3]\'','\'(771.3-inf)\''}
@attribute OWNHOME {0,1}
@attribute LOCATION {A,B,C,D,E,F,G,H}
@attribute BUY6 numeric
@attribute BUY12 numeric
@attribute BUY18 numeric
@attribute VALUE24 {'\'(-inf-156.7]\'','\'(156.7-252.4]\'','\'(252.4-348.1]\'','\'(348.1-443.8]\'','\'(443.8-539.5]\'','\'(539.5-635.2]\'','\'(635.2-730.9]\'','\'(730.9-826.6]\'','\'(826.6-922.3]\'','\'(922.3-inf)\''}
@attribute MOVED {0,1}
@attribute class {0,1}

@data

'\'(34.8-40.4]\'','\'(-inf-22.5]\'',1,'\'(672.8-692.5]\'',0,G,1,1,1,'\'(348.1-443.8]\'',0,1
'\'(40.4-46]\'','\'(45-52.5]\'',1,'\'(653.1-672.8]\'',1,G,0,1,1,'\'(635.2-730.9]\'',0,1
'\'(46-51.6]\'','\'(52.5-60]\'',1,'\'(672.8-692.5]\'',0,G,0,0,2,'\'(635.2-730.9]\'',0,1
'\'(46-51.6]\'','\'(67.5-75]\'',1,'\'(653.1-672.8]\'',0,G,1,1,1,'\'(443.8-539.5]\'',0,1
'\'(57.2-62.8]\'','\'(37.5-45]\'',1,'\'(672.8-692.5]\'',0,A,1,1,1,'\'(443.8-539.5]\'',0,1
'\'(40.4-46]\'','\'(52.5-60]\'',1,'\'(692.5-712.2]\'',0,A,0,0,0,'\'(-inf-156.7]\'',0,1
'\'(29.2-34.8]\'','\'(22.5-30]\'',0,'\'(633.4-653.1]\'',1,A,1,1,2,'\'(252.4-348.1]\'',0,1
'\'(-inf-23.6]\'','\'(67.5-75]\'',1,'\'(731.9-751.6]\'',1,A,0,0,0,'\'(156.7-252.4]\'',0,1
'\'(29.2-34.8]\'','\'(22.5-30]\'',0,'\'(672.8-692.5]\'',0,A,0,0,0,'\'(-inf-156.7]\'',0,1
'\'(29.2-34.8]\'','\'(45-52.5]\'',0,'\'(712.2-731.9]\'',0,A,0,0,0,'\'(252.4-348.1]\'',0,1
'\'(46-51.6]\'','\'(37.5-45]\'',1,'\'(692.5-712.2]\'',0,A,1,1,1,'\'(-inf-156.7]\'',0,1
'\'(46-51.6]\'','\'(45-52.5]\'',1,'\'(712.2-731.9]\'',0,A,0,0,0,'\'(-inf-156.7]\'',0,1
'\'(40.4-46]\'','\'(37.5-45]\'',0,'\'(653.1-672.8]\'',0,A,0,0,0,'\'(156.7-252.4]\'',0,1
'\'(46-51.6]\'','\'(-inf-22.5]\'',1,'\'(672.8-692.5]\'',0,A,0,0,0,'\'(156.7-252.4]\'',0,1
'\'(29.2-34.8]\'','\'(-inf-22.5]\'',1,'\'(672.8-692.5]\'',0,A,0,0,0,'\'(156.7-252.4]\'',1,1
'\'(40.4-46]\'','\'(67.5-75]\'',1,'\'(672.8-692.5]\'',0,A,1,2,2,'\'(348.1-443.8]\'',0,1
'\'(46-51.6]\'','\'(37.5-45]\'',1,'\'(692.5-712.2]\'',0,A,1,1,1,'\'(348.1-443.8]\'',0,1
'\'(40.4-46]\'','\'(-inf-22.5]\'',1,'\'(653.1-672.8]\'',0,A,1,1,1,'\'(156.7-252.4]\'',0,1
'\'(40.4-46]\'','\'(52.5-60]\'',0,'\'(692.5-712.2]\'',0,A,0,0,0,'\'(443.8-539.5]\'',0,1
'\'(29.2-34.8]\'','\'(52.5-60]\'',0,'\'(692.5-712.2]\'',0,A,0,0,0,'\'(-inf-156.7]\'',0,1
'\'(29.2-34.8]\'','\'(45-52.5]\'',0,'\'(672.8-692.5]\'',0,A,0,0,0,'\'(-inf-156.7]\'',0,1
'\'(34.8-40.4]\'','\'(60-67.5]\'',0,'\'(672.8-692.5]\'',0,A,0,0,0,'\'(156.7-252.4]\'',0,1
'\'(34.8-40.4]\'','\'(67.5-75]\'',0,'\'(672.8-692.5]\'',0,A,0,1,2,'\'(635.2-730.9]\'',0,1
'\'(51.6-57.2]\'','\'(60-67.5]\'',0,'\'(692.5-712.2]\'',0,A,0,0,0,'\'(156.7-252.4]\'',0,1
'\'(46-51.6]\'','\'(30-37.5]\'',1,'\'(613.7-633.4]\'',0,A,1,1,2,'\'(348.1-443.8]\'',0,1
'\'(23.6-29.2]\'','\'(60-67.5]\'',1,'\'(672.8-692.5]\'',0,A,0,0,0,'\'(-inf-156.7]\'',0,1
'\'(46-51.6]\'','\'(22.5-30]\'',1,'\'(731.9-751.6]\'',0,A,0,0,0,'\'(252.4-348.1]\'',0,1
'\'(51.6-57.2]\'','\'(45-52.5]\'',1,'\'(712.2-731.9]\'',0,A,0,0,0,'\'(-inf-156.7]\'',0,1
'\'(62.8-68.4]\'','\'(82.5-inf)\'',0,'\'(672.8-692.5]\'',0,A,0,0,0,'\'(-inf-156.7]\'',0,1
'\'(40.4-46]\'','\'(37.5-45]\'',1,'\'(712.2-731.9]\'',0,A,1,1,1,'\'(252.4-348.1]\'',0,1
'\'(51.6-57.2]\'','\'(45-52.5]\'',1,'\'(672.8-692.5]\'',0,A,0,0,0,'\'(156.7-252.4]\'',0,1
'\'(34.8-40.4]\'','\'(67.5-75]\'',0,'\'(633.4-653.1]\'',0,A,0,0,0,'\'(-inf-156.7]\'',0,1
'\'(23.6-29.2]\'','\'(22.5-30]\'',1,'\'(692.5-712.2]\'',0,E,2,2,2,'\'(252.4-348.1]\'',0,1
'\'(51.6-57.2]\'','\'(37.5-45]\'',1,'\'(692.5-712.2]\'',0,E,0,0,0,'\'(-inf-156.7]\'',0,1
'\'(29.2-34.8]\'','\'(37.5-45]\'',0,'\'(653.1-672.8]\'',0,E,0,0,0,'\'(156.7-252.4]\'',0,1
'\'(40.4-46]\'','\'(52.5-60]\'',1,'\'(633.4-653.1]\'',0,E,0,0,0,'\'(-inf-156.7]\'',0,1
'\'(46-51.6]\'','\'(60-67.5]\'',1,'\'(672.8-692.5]\'',1,E,1,1,2,'\'(730.9-826.6]\'',0,1
'\'(40.4-46]\'','\'(67.5-75]\'',1,'\'(692.5-712.2]\'',0,E,0,0,0,'\'(-inf-156.7]\'',0,1
'\'(40.4-46]\'','\'(60-67.5]\'',1,'\'(672.8-692.5]\'',1,E,0,0,0,'\'(443.8-539.5]\'',0,1
'\'(40.4-46]\'','\'(22.5-30]\'',1,'\'(672.8-692.5]\'',1,E,0,0,0,'\'(-inf-156.7]\'',0,1
'\'(23.6-29.2]\'','\'(60-67.5]\'',0,'\'(672.8-692.5]\'',0,E,1,1,1,'\'(156.7-252.4]\'',0,1
'\'(40.4-46]\'','\'(22.5-30]\'',1,'\'(653.1-672.8]\'',0,E,0,0,0,'\'(156.7-252.4]\'',0,1
'\'(51.6-57.2]\'','\'(45-52.5]\'',1,'\'(692.5-712.2]\'',0,E,0,0,0,'\'(156.7-252.4]\'',0,1
'\'(29.2-34.8]\'','\'(60-67.5]\'',0,'\'(653.1-672.8]\'',1,E,0,0,0,'\'(156.7-252.4]\'',0,1
'\'(40.4-46]\'','\'(22.5-30]\'',1,'\'(653.1-672.8]\'',0,E,0,0,0,'\'(252.4-348.1]\'',0,1
'\'(40.4-46]\'','\'(22.5-30]\'',1,'\'(653.1-672.8]\'',0,E,1,1,2,'\'(539.5-635.2]\'',0,1
'\'(40.4-46]\'','\'(22.5-30]\'',1,'\'(712.2-731.9]\'',0,E,0,1,1,'\'(156.7-252.4]\'',0,1
'\'(23.6-29.2]\'','\'(37.5-45]\'',1,'\'(653.1-672.8]\'',0,E,0,1,1,'\'(252.4-348.1]\'',0,1
'\'(23.6-29.2]\'','\'(22.5-30]\'',1,'\'(712.2-731.9]\'',0,E,1,1,1,'\'(348.1-443.8]\'',0,1
'\'(34.8-40.4]\'','\'(52.5-60]\'',0,'\'(633.4-653.1]\'',0,E,0,0,0,'\'(156.7-252.4]\'',0,1
'\'(40.4-46]\'','\'(52.5-60]\'',1,'\'(672.8-692.5]\'',0,E,0,0,1,'\'(252.4-348.1]\'',0,1
'\'(46-51.6]\'','\'(22.5-30]\'',0,'\'(672.8-692.5]\'',0,E,0,1,1,'\'(443.8-539.5]\'',0,1
'\'(40.4-46]\'','\'(45-52.5]\'',1,'\'(653.1-672.8]\'',0,E,0,0,0,'\'(-inf-156.7]\'',0,1
?,?,?,'\'(692.5-712.2]\'',?,E,0,0,1,'\'(443.8-539.5]\'',0,1
'\'(34.8-40.4]\'','\'(22.5-30]\'',1,'\'(653.1-672.8]\'',0,E,0,0,0,'\'(252.4-348.1]\'',0,1
'\'(34.8-40.4]\'','\'(52.5-60]\'',0,'\'(633.4-653.1]\'',0,E,0,0,0,'\'(-inf-156.7]\'',0,1
