@relation R_data_frame-weka.filters.unsupervised.attribute.Standardize

@attribute AGE numeric
@attribute INCOME numeric
@attribute GENDER {M,F}
@attribute MARRIED {0,1}
@attribute FICO numeric
@attribute OWNHOME {0,1}
@attribute LOCATION {A,B,C,D,E,F,G,H}
@attribute BUY6 numeric
@attribute BUY12 numeric
@attribute BUY18 numeric
@attribute VALUE24 numeric
@attribute MOVED {0,1}
@attribute class {0,1}

@data

-0.345986,-1.659006,F,1,-0.480456,0,G,2.43638,1.699941,0.949561,0.326919,0,1
0.250094,-0.028882,F,1,-1.248108,1,G,-0.37703,1.699941,0.949561,2.021514,0,1
0.746828,0.393743,M,1,-0.340883,0,G,-0.37703,-0.509795,2.583916,2.113425,0,1
0.349441,1.480493,M,1,-1.108535,0,G,2.43638,1.699941,0.949561,0.901358,0,1
1.442255,-0.511882,M,1,-0.236203,0,A,2.43638,1.699941,0.949561,1.182833,0,1
-0.047946,0.393743,M,1,0.566343,0,A,-0.37703,-0.509795,-0.684793,-1.034502,0,1
-1.14076,-1.055256,M,0,-1.492362,1,A,2.43638,1.699941,2.583916,-0.195821,0,1
-2.03488,1.359743,M,1,1.717821,1,A,-0.37703,-0.509795,-0.684793,-0.753027,0,1
-1.041413,-1.055256,M,0,-0.026843,0,A,-0.37703,-0.509795,-0.684793,-1.321722,0,1
-1.240106,0.333368,F,0,1.019955,0,A,-0.37703,-0.509795,-0.684793,-0.213054,0,1
0.448788,-0.330757,M,1,0.531449,0,A,2.43638,1.699941,0.949561,-0.988547,0,1
0.647481,0.333368,M,1,1.089742,0,A,-0.37703,-0.509795,-0.684793,-1.132157,0,1
0.150747,-0.330757,M,0,-0.934069,0,A,-0.37703,-0.509795,-0.684793,-0.327942,0,1
0.746828,-1.779756,F,1,-0.585136,0,A,-0.37703,-0.509795,-0.684793,-0.253265,0,1
-1.14076,-1.719381,F,1,-0.271096,0,A,-0.37703,-0.509795,-0.684793,-0.454319,1,1
0.051401,1.359743,M,1,-0.375776,0,A,2.43638,3.909676,2.583916,0.349896,0,1
0.349441,-0.089257,F,1,0.461663,0,A,2.43638,1.699941,0.949561,0.792215,0,1
-0.246639,-1.659006,F,1,-0.829389,0,A,2.43638,1.699941,0.949561,-0.620906,0,1
0.051401,0.635243,M,0,0.601236,0,A,-0.37703,-0.509795,-0.684793,0.953058,0,1
-1.14076,0.816368,M,0,0.496556,0,A,-0.37703,-0.509795,-0.684793,-1.252789,0,1
-1.240106,0.333368,F,0,-0.026843,0,A,-0.37703,-0.509795,-0.684793,-1.14939,0,1
-0.743373,0.876743,M,0,-0.515349,0,A,-0.37703,-0.509795,-0.684793,-0.511762,0,1
-0.84272,1.540868,M,0,-0.585136,0,A,-0.37703,1.699941,2.583916,2.452344,0,1
1.342908,1.057868,M,0,0.531449,0,A,-0.37703,-0.509795,-0.684793,-0.695583,0,1
0.746828,-0.572256,M,1,-2.574054,0,A,2.43638,1.699941,2.583916,0.757748,0,1
-1.637493,1.057868,F,1,-0.585136,0,A,-0.37703,-0.509795,-0.684793,-0.994291,0,1
0.647481,-1.296756,M,1,1.996968,0,A,-0.37703,-0.509795,-0.684793,0.235008,0,1
1.243561,0.031493,F,1,1.159529,0,A,-0.37703,-0.509795,-0.684793,-1.258533,0,1
2.237028,2.204993,M,0,-0.550243,0,A,-0.37703,-0.509795,-0.684793,-1.195345,0,1
0.150747,-0.210007,F,1,0.705916,0,A,2.43638,1.699941,0.949561,0.033955,0,1
1.144214,0.152243,F,1,-0.30599,0,A,-0.37703,-0.509795,-0.684793,-0.373897,0,1
-0.544679,1.420118,M,0,-1.911081,0,A,-0.37703,-0.509795,-0.684793,-0.959825,0,1
-1.4388,-1.296756,M,1,0.601236,0,E,5.24979,3.909676,2.583916,0.005233,0,1
1.144214,-0.391132,M,1,0.566343,0,E,-0.37703,-0.509795,-0.684793,-0.965569,0,1
-1.240106,-0.330757,F,0,-0.794496,0,E,-0.37703,-0.509795,-0.684793,-0.264754,0,1
0.051401,0.816368,M,1,-1.562148,0,E,-0.37703,-0.509795,-0.684793,-1.097691,0,1
0.746828,0.937118,M,1,-0.026843,1,E,2.43638,1.699941,2.583916,2.768285,0,1
0.051401,1.480493,F,1,0.496556,0,E,-0.37703,-0.509795,-0.684793,-0.810471,0,1
-0.246639,1.238993,M,1,-0.515349,1,E,-0.37703,-0.509795,-0.684793,0.93008,0,1
0.250094,-1.055256,M,1,-0.271096,1,E,-0.37703,-0.509795,-0.684793,-0.827704,0,1
-1.4388,1.238993,F,0,-0.131523,0,E,2.43638,1.699941,0.949561,-0.362408,0,1
-0.147293,-0.994881,F,1,-0.934069,0,E,-0.37703,-0.509795,-0.684793,-0.396875,0,1
1.144214,0.272993,F,1,0.287196,0,E,-0.37703,-0.509795,-0.684793,-0.741538,0,1
-0.942066,0.937118,M,0,-1.317895,1,E,-0.37703,-0.509795,-0.684793,-0.414108,0,1
0.051401,-1.176006,M,1,-0.829389,0,E,-0.37703,-0.509795,-0.684793,0.074166,0,1
0.051401,-1.176006,M,1,-1.108535,0,E,2.43638,1.699941,2.583916,1.906627,0,1
0.150747,-0.994881,F,1,0.985062,0,E,-0.37703,1.699941,0.949561,-0.528996,0,1
-1.4388,-0.149632,F,1,-1.283002,0,E,-0.37703,1.699941,0.949561,-0.138377,0,1
-1.637493,-1.115631,M,1,1.333995,0,E,2.43638,1.699941,0.949561,0.436062,0,1
-0.445333,0.393743,M,0,-1.806401,0,E,-0.37703,-0.509795,-0.684793,-0.523251,0,1
0.250094,0.514493,M,1,-0.30599,0,E,-0.37703,-0.509795,0.949561,0.074166,0,1
0.448788,-1.296756,F,0,-0.340883,0,E,-0.37703,1.699941,0.949561,1.223044,0,1
0.150747,0.031493,F,1,-1.248108,0,E,-0.37703,-0.509795,-0.684793,-1.080457,0,1
?,?,?,?,0.356983,?,E,-0.37703,-0.509795,0.949561,0.935824,0,1
-0.84272,-1.055256,M,1,-1.143429,0,E,-0.37703,-0.509795,-0.684793,-0.230287,0,1
-0.544679,0.393743,M,0,-1.631935,0,E,-0.37703,-0.509795,-0.684793,-1.05748,0,1
-2.432267,0.816368,M,0,1.403782,0,E,2.43638,1.699941,0.949561,-0.839193,0,1
