@relation buy-weka.filters.unsupervised.attribute.Standardize

@attribute AGE numeric
@attribute INCOME numeric
@attribute GENDER {M,F}
@attribute MARRIED {0,1}
@attribute FICO numeric
@attribute OWNHOME {0,1}
@attribute LOCATION {A,B,C,D,E,F,G,H}
@attribute BUY6 numeric
@attribute BUY12 numeric
@attribute BUY18 numeric
@attribute VALUE24 numeric
@attribute MOVED {0,1}
@attribute class {0,1}

@data

2.33763,-0.816746,M,0,0.704692,0,A,-0.379649,-0.509996,-0.685671,-0.853531,0,1
1.542784,-0.393539,F,1,0.355487,0,A,-0.379649,-0.509996,0.949289,1.112769,0,1
-0.941111,0.996997,M,0,0.879294,0,A,-0.379649,-0.509996,-0.685671,-1.038595,0,1
?,?,?,?,-1.181015,?,A,-0.379649,-0.509996,-0.685671,-0.986546,0,1
-0.941111,1.420204,F,1,0.180884,1,A,-0.379649,-0.509996,-0.685671,-1.032812,0,1
1.244716,-0.816746,F,1,-1.111174,0,A,-0.379649,-0.509996,-0.685671,-0.408222,0,1
0.946649,-0.69583,M,1,0.704692,0,A,5.237332,3.900395,2.584248,0.337815,1,1
2.834409,0.815623,M,0,-0.203241,1,A,2.428841,3.900395,2.584248,0.835174,0,1
-1.735957,-1.058579,M,0,-0.238162,1,A,-0.379649,-0.509996,-0.685671,-0.876664,0,1
2.33763,0.029667,M,1,-2.717517,0,A,-0.379649,1.695199,0.949289,0.916139,0,1
-1.338534,1.480662,M,0,0.56501,0,A,-0.379649,1.695199,0.949289,0.366732,0,1
-0.24562,-1.784076,F,1,1.368181,0,A,2.428841,1.695199,0.949289,0.991321,0,1
0.747938,1.117914,M,0,-0.238162,0,A,-0.379649,-0.509996,-0.685671,-0.90558,0,1
0.648582,-0.514456,F,1,-0.308003,0,A,-0.379649,-0.509996,0.949289,0.418781,0,1
-0.046909,-0.998121,M,1,-0.622287,0,A,-0.379649,-0.509996,-0.685671,-0.969196,0,1
0.251159,0.876081,M,1,-0.83181,0,A,-0.379649,-0.509996,-0.685671,-0.246291,0,1
-1.636601,1.299288,F,1,0.879294,1,A,2.428841,1.695199,0.949289,1.026021,0,1
2.33763,-0.151707,M,1,0.250725,1,A,-0.379649,-0.509996,-0.685671,-0.778349,0,1
0.052447,0.331958,F,1,-1.111174,0,A,-0.379649,-0.509996,-0.685671,-0.627985,0,1
1.046005,1.057455,M,1,-1.4953,0,A,-0.379649,-0.509996,0.949289,1.101203,0,1
1.741495,-0.272623,F,1,1.577704,0,A,-0.379649,-0.509996,-0.685671,-0.853531,0,1
-1.43789,1.117914,F,0,-1.320697,0,B,-0.379649,-0.509996,0.949289,-0.101711,0,1
0.151803,-0.877204,F,1,0.285646,0,B,2.428841,1.695199,2.584248,-0.466054,0,1
0.946649,-0.998121,M,1,0.844374,0,B,-0.379649,-0.509996,-0.685671,-0.911364,0,1
0.44987,-0.212165,F,1,-0.168321,0,B,-0.379649,-0.509996,-0.685671,-0.639552,0,1
0.151803,-0.816746,M,1,0.634851,0,B,-0.379649,-0.509996,-0.685671,-1.11956,0,1
0.648582,0.513332,F,1,0.320566,0,B,-0.379649,-0.509996,-0.685671,-0.523887,0,1
-2.431447,0.936539,F,1,-0.692128,0,B,2.428841,1.695199,0.949289,0.765775,0,1
0.648582,-1.542244,M,1,-0.622287,0,B,-0.379649,-0.509996,-0.685671,0.679026,0,1
-0.444332,-1.360869,F,0,0.145964,0,B,2.428841,1.695199,0.949289,0.563362,0,1
0.251159,0.392416,F,1,1.228499,0,B,-0.379649,1.695199,0.949289,1.182168,0,1
0.052447,-0.816746,F,1,-0.273082,0,B,-0.379649,-0.509996,0.949289,0.615411,0,1
-0.146264,-0.877204,M,0,-1.879425,0,B,-0.379649,-0.509996,0.949289,-0.078578,0,1
-2.034024,0.57379,M,0,-1.4953,0,B,2.428841,1.695199,0.949289,-0.963413,0,1
0.151803,-0.574914,M,0,-1.181015,0,B,-0.379649,-0.509996,-0.685671,-0.344606,0,1
-0.742399,1.23883,M,0,-0.412764,0,B,-0.379649,-0.509996,-0.685671,-1.055945,0,1
0.052447,-1.421327,M,1,0.145964,0,B,-0.379649,-0.509996,-0.685671,-0.882448,0,1
0.251159,-0.998121,M,0,-2.019107,0,B,-0.379649,-0.509996,-0.685671,-0.94028,0,1
-0.941111,0.996997,M,0,-0.377844,0,B,-0.379649,-0.509996,-0.685671,-0.587502,0,1
-1.835313,-0.151707,F,0,0.495169,1,B,-0.379649,1.695199,2.584248,0.303116,0,1
-0.742399,-0.514456,M,0,0.006282,1,B,-0.379649,-0.509996,-0.685671,-0.616419,0,1
0.251159,-1.421327,M,0,-0.657208,0,B,-0.379649,-0.509996,-0.685671,-0.830398,0,1
0.747938,-0.453998,M,1,-0.622287,0,B,-0.379649,-0.509996,-0.685671,-1.032812,0,1
1.145361,0.452874,F,1,-0.308003,0,B,-0.379649,-0.509996,0.949289,0.45348,0,1
-0.643043,-1.784076,M,0,1.26342,0,B,-0.379649,-0.509996,0.949289,0.308899,0,1
-0.841755,-0.333081,M,0,-0.901651,1,B,-0.379649,-0.509996,0.949289,0.199018,0,1
-1.139822,1.117914,F,1,-0.901651,1,B,-0.379649,-0.509996,-0.685671,-0.309907,0,1
?,?,?,?,-1.460379,?,B,-0.379649,-0.509996,0.949289,1.216867,0,1
-0.643043,-1.66316,F,0,0.355487,0,B,-0.379649,-0.509996,-0.685671,-0.703167,0,1
