@relation 'buy-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R5,11'

@attribute AGE numeric
@attribute INCOME numeric
@attribute GENDER {M,F}
@attribute MARRIED {0,1}
@attribute FICO {'\'(-inf--2.304291]\'','\'(-2.304291--1.157735]\'','\'(-1.157735--0.011179]\'','\'(-0.011179-1.135378]\'','\'(1.135378-2.281934]\'','\'(2.281934-inf)\''}
@attribute OWNHOME {0,1}
@attribute LOCATION {A,B,C,D,E,F,G,H}
@attribute BUY6 numeric
@attribute BUY12 numeric
@attribute BUY18 numeric
@attribute VALUE24 {'\'(-inf--0.416897]\'','\'(-0.416897-0.505529]\'','\'(0.505529-1.427956]\'','\'(1.427956-2.350382]\'','\'(2.350382-3.272808]\'','\'(3.272808-inf)\''}
@attribute MOVED {0,1}
@attribute class {0,1}

@data

2.33763,-0.816746,M,0,'\'(-0.011179-1.135378]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
1.542784,-0.393539,F,1,'\'(-0.011179-1.135378]\'',0,A,-0.379649,-0.509996,0.949289,'\'(0.505529-1.427956]\'',0,1
-0.941111,0.996997,M,0,'\'(-0.011179-1.135378]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
?,?,?,?,'\'(-2.304291--1.157735]\'',?,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
-0.941111,1.420204,F,1,'\'(-0.011179-1.135378]\'',1,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
1.244716,-0.816746,F,1,'\'(-1.157735--0.011179]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(-0.416897-0.505529]\'',0,1
0.946649,-0.69583,M,1,'\'(-0.011179-1.135378]\'',0,A,5.237332,3.900395,2.584248,'\'(-0.416897-0.505529]\'',1,1
2.834409,0.815623,M,0,'\'(-1.157735--0.011179]\'',1,A,2.428841,3.900395,2.584248,'\'(0.505529-1.427956]\'',0,1
-1.735957,-1.058579,M,0,'\'(-1.157735--0.011179]\'',1,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
2.33763,0.029667,M,1,'\'(-inf--2.304291]\'',0,A,-0.379649,1.695199,0.949289,'\'(0.505529-1.427956]\'',0,1
-1.338534,1.480662,M,0,'\'(-0.011179-1.135378]\'',0,A,-0.379649,1.695199,0.949289,'\'(-0.416897-0.505529]\'',0,1
-0.24562,-1.784076,F,1,'\'(1.135378-2.281934]\'',0,A,2.428841,1.695199,0.949289,'\'(0.505529-1.427956]\'',0,1
0.747938,1.117914,M,0,'\'(-1.157735--0.011179]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
0.648582,-0.514456,F,1,'\'(-1.157735--0.011179]\'',0,A,-0.379649,-0.509996,0.949289,'\'(-0.416897-0.505529]\'',0,1
-0.046909,-0.998121,M,1,'\'(-1.157735--0.011179]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
0.251159,0.876081,M,1,'\'(-1.157735--0.011179]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(-0.416897-0.505529]\'',0,1
-1.636601,1.299288,F,1,'\'(-0.011179-1.135378]\'',1,A,2.428841,1.695199,0.949289,'\'(0.505529-1.427956]\'',0,1
2.33763,-0.151707,M,1,'\'(-0.011179-1.135378]\'',1,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
0.052447,0.331958,F,1,'\'(-1.157735--0.011179]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
1.046005,1.057455,M,1,'\'(-2.304291--1.157735]\'',0,A,-0.379649,-0.509996,0.949289,'\'(0.505529-1.427956]\'',0,1
1.741495,-0.272623,F,1,'\'(1.135378-2.281934]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
-1.43789,1.117914,F,0,'\'(-2.304291--1.157735]\'',0,B,-0.379649,-0.509996,0.949289,'\'(-0.416897-0.505529]\'',0,1
0.151803,-0.877204,F,1,'\'(-0.011179-1.135378]\'',0,B,2.428841,1.695199,2.584248,'\'(-inf--0.416897]\'',0,1
0.946649,-0.998121,M,1,'\'(-0.011179-1.135378]\'',0,B,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
0.44987,-0.212165,F,1,'\'(-1.157735--0.011179]\'',0,B,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
0.151803,-0.816746,M,1,'\'(-0.011179-1.135378]\'',0,B,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
0.648582,0.513332,F,1,'\'(-0.011179-1.135378]\'',0,B,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
-2.431447,0.936539,F,1,'\'(-1.157735--0.011179]\'',0,B,2.428841,1.695199,0.949289,'\'(0.505529-1.427956]\'',0,1
0.648582,-1.542244,M,1,'\'(-1.157735--0.011179]\'',0,B,-0.379649,-0.509996,-0.685671,'\'(0.505529-1.427956]\'',0,1
-0.444332,-1.360869,F,0,'\'(-0.011179-1.135378]\'',0,B,2.428841,1.695199,0.949289,'\'(0.505529-1.427956]\'',0,1
0.251159,0.392416,F,1,'\'(1.135378-2.281934]\'',0,B,-0.379649,1.695199,0.949289,'\'(0.505529-1.427956]\'',0,1
0.052447,-0.816746,F,1,'\'(-1.157735--0.011179]\'',0,B,-0.379649,-0.509996,0.949289,'\'(0.505529-1.427956]\'',0,1
