@relation buy-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R11

@attribute AGE numeric
@attribute INCOME numeric
@attribute GENDER {M,F}
@attribute MARRIED {0,1}
@attribute FICO numeric
@attribute OWNHOME {0,1}
@attribute LOCATION {A,B,C,D,E,F,G,H}
@attribute BUY6 numeric
@attribute BUY12 numeric
@attribute BUY18 numeric
@attribute VALUE24 {'\'(-inf--0.785867]\'','\'(-0.785867--0.232412]\'','\'(-0.232412-0.321044]\'','\'(0.321044-0.8745]\'','\'(0.8745-1.427955]\'','\'(1.427955-1.981411]\'','\'(1.981411-2.534867]\'','\'(2.534867-3.088323]\'','\'(3.088323-3.641778]\'','\'(3.641778-inf)\''}
@attribute MOVED {0,1}
@attribute class {0,1}

@data

2.33763,-0.816746,M,0,0.704692,0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.785867]\'',0,1
1.542784,-0.393539,F,1,0.355487,0,A,-0.379649,-0.509996,0.949289,'\'(0.8745-1.427955]\'',0,1
-0.941111,0.996997,M,0,0.879294,0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.785867]\'',0,1
?,?,?,?,-1.181015,?,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.785867]\'',0,1
-0.941111,1.420204,F,1,0.180884,1,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.785867]\'',0,1
1.244716,-0.816746,F,1,-1.111174,0,A,-0.379649,-0.509996,-0.685671,'\'(-0.785867--0.232412]\'',0,1
0.946649,-0.69583,M,1,0.704692,0,A,5.237332,3.900395,2.584248,'\'(0.321044-0.8745]\'',1,1
2.834409,0.815623,M,0,-0.203241,1,A,2.428841,3.900395,2.584248,'\'(0.321044-0.8745]\'',0,1
-1.735957,-1.058579,M,0,-0.238162,1,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.785867]\'',0,1
2.33763,0.029667,M,1,-2.717517,0,A,-0.379649,1.695199,0.949289,'\'(0.8745-1.427955]\'',0,1
-1.338534,1.480662,M,0,0.56501,0,A,-0.379649,1.695199,0.949289,'\'(0.321044-0.8745]\'',0,1
-0.24562,-1.784076,F,1,1.368181,0,A,2.428841,1.695199,0.949289,'\'(0.8745-1.427955]\'',0,1
0.747938,1.117914,M,0,-0.238162,0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.785867]\'',0,1
0.648582,-0.514456,F,1,-0.308003,0,A,-0.379649,-0.509996,0.949289,'\'(0.321044-0.8745]\'',0,1
-0.046909,-0.998121,M,1,-0.622287,0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.785867]\'',0,1
0.251159,0.876081,M,1,-0.83181,0,A,-0.379649,-0.509996,-0.685671,'\'(-0.785867--0.232412]\'',0,1
-1.636601,1.299288,F,1,0.879294,1,A,2.428841,1.695199,0.949289,'\'(0.8745-1.427955]\'',0,1
2.33763,-0.151707,M,1,0.250725,1,A,-0.379649,-0.509996,-0.685671,'\'(-0.785867--0.232412]\'',0,1
0.052447,0.331958,F,1,-1.111174,0,A,-0.379649,-0.509996,-0.685671,'\'(-0.785867--0.232412]\'',0,1
1.046005,1.057455,M,1,-1.4953,0,A,-0.379649,-0.509996,0.949289,'\'(0.8745-1.427955]\'',0,1
1.741495,-0.272623,F,1,1.577704,0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.785867]\'',0,1
-1.43789,1.117914,F,0,-1.320697,0,B,-0.379649,-0.509996,0.949289,'\'(-0.232412-0.321044]\'',0,1
0.151803,-0.877204,F,1,0.285646,0,B,2.428841,1.695199,2.584248,'\'(-0.785867--0.232412]\'',0,1
0.946649,-0.998121,M,1,0.844374,0,B,-0.379649,-0.509996,-0.685671,'\'(-inf--0.785867]\'',0,1
