@relation buy


@attribute AGE numeric
@attribute INCOME numeric
@attribute GENDER {M,F}
@attribute MARRIED {0,1}
@attribute FICO numeric
@attribute OWNHOME {0,1}
@attribute LOCATION {A,B,C,D,E,F,G,H}
@attribute BUY6 {0,1,2}
@attribute BUY12 {0,1,2}
@attribute BUY18 {0,1,2,3}
@attribute VALUE24 numeric
@attribute MOVED {0,1}
@attribute class {0,1}

@data
40,19,F,1,679,0,G,1,1,1,350,0,1
46,46,F,1,657,1,G,0,1,1,645,0,1
51,53,M,1,683,0,G,0,0,2,661,0,1
47,71,M,1,661,0,G,1,1,1,450,0,1
58,38,M,1,686,0,A,1,1,1,499,0,1
43,53,M,1,709,0,A,0,0,0,113,0,1
32,29,M,0,650,1,A,1,1,2,259,0,1
23,69,M,1,742,1,A,0,0,0,162,0,1
33,29,M,0,692,0,A,0,0,0,63,0,1
31,52,F,0,722,0,A,0,0,0,256,0,1
48,41,M,1,708,0,A,1,1,1,121,0,1
50,52,M,1,724,0,A,0,0,0,96,0,1
45,41,M,0,666,0,A,0,0,0,236,0,1
51,17,F,1,676,0,A,0,0,0,249,0,1
32,18,F,1,685,0,A,0,0,0,214,1,1
44,69,M,1,682,0,A,1,2,2,354,0,1
47,45,F,1,706,0,A,1,1,1,431,0,1
41,19,F,1,669,0,A,1,1,1,185,0,1
44,57,M,0,710,0,A,0,0,0,459,0,1
32,60,M,0,707,0,A,0,0,0,75,0,1
31,52,F,0,692,0,A,0,0,0,93,0,1
36,61,M,0,678,0,A,0,0,0,204,0,1
35,72,M,0,676,0,A,0,1,2,720,0,1
57,64,M,0,708,0,A,0,0,0,172,0,1
51,37,M,1,619,0,A,1,1,2,425,0,1
27,64,F,1,676,0,A,0,0,0,120,0,1
50,25,M,1,750,0,A,0,0,0,334,0,1
56,47,F,1,726,0,A,0,0,0,74,0,1
66,83,M,0,677,0,A,0,0,0,85,0,1
45,43,F,1,713,0,A,1,1,1,299,0,1
55,49,F,1,684,0,A,0,0,0,228,0,1
38,70,M,0,638,0,A,0,0,0,126,0,1
29,25,M,1,710,0,E,2,2,2,294,0,1
55,40,M,1,709,0,E,0,0,0,125,0,1
31,41,F,0,670,0,E,0,0,0,247,0,1
44,60,M,1,648,0,E,0,0,0,102,0,1
51,62,M,1,692,1,E,1,1,2,775,0,1
44,71,F,1,707,0,E,0,0,0,152,0,1
41,67,M,1,678,1,E,0,0,0,455,0,1
46,29,M,1,685,1,E,0,0,0,149,0,1
29,67,F,0,689,0,E,1,1,1,230,0,1
42,30,F,1,666,0,E,0,0,0,224,0,1
55,51,F,1,701,0,E,0,0,0,164,0,1
34,62,M,0,655,1,E,0,0,0,221,0,1
44,27,M,1,669,0,E,0,0,0,306,0,1
44,27,M,1,661,0,E,1,1,2,625,0,1
45,30,F,1,721,0,E,0,1,1,201,0,1
29,44,F,1,656,0,E,0,1,1,269,0,1
27,28,M,1,731,0,E,1,1,1,369,0,1
39,53,M,0,641,0,E,0,0,0,202,0,1
46,55,M,1,684,0,E,0,0,1,306,0,1
48,25,F,0,683,0,E,0,1,1,506,0,1
45,47,F,1,657,0,E,0,0,0,105,0,1
?,?,?,?,703,?,E,0,0,1,456,0,1
35,29,M,1,660,0,E,0,0,0,253,0,1
38,53,M,0,646,0,E,0,0,0,109,0,1
19,60,M,0,733,0,E,1,1,1,147,0,1
45,43,F,1,696,0,E,0,0,1,158,0,1
45,50,F,0,683,0,E,0,0,1,419,0,1
34,18,F,0,694,0,E,0,0,0,130,0,1
49,36,F,1,687,0,E,0,0,1,148,0,1
27,60,F,0,743,0,E,0,0,0,171,0,1
27,57,F,0,674,0,F,1,1,1,224,0,1
45,45,F,1,678,0,F,0,1,1,419,0,1
31,68,M,0,707,0,F,0,0,0,196,0,1
44,45,M,1,727,0,F,0,1,1,187,0,1
48,65,M,1,685,1,F,0,0,0,179,0,1
50,60,F,1,685,1,F,0,0,0,98,1,1
44,67,M,0,696,0,F,1,1,1,382,0,1
42,37,M,1,757,0,F,0,1,1,232,0,1
44,62,F,1,678,1,F,0,0,0,258,1,1
48,21,M,1,675,0,F,1,1,1,191,0,1
38,49,M,0,684,0,F,0,0,0,134,0,1
45,59,M,1,720,1,F,0,0,0,233,0,1
47,21,F,1,642,1,F,0,1,1,445,0,1
22,20,M,0,681,0,F,1,1,1,514,0,1
48,39,F,1,662,0,F,2,2,2,386,0,1
46,35,F,1,761,0,F,0,0,0,145,0,1
52,75,M,1,687,1,F,0,0,0,194,0,1
48,20,F,1,683,1,F,0,0,1,581,0,1
36,49,M,0,734,0,F,0,0,0,330,0,1
27,37,F,0,665,0,F,1,1,1,134,0,1
40,60,M,1,656,0,F,0,0,0,70,0,1
19,57,M,1,721,0,F,0,0,0,196,0,1
57,49,F,1,695,0,F,0,0,0,102,0,1
26,57,M,1,749,0,F,0,0,0,76,0,1
32,65,M,1,705,1,F,0,0,0,255,0,1
22,50,M,0,729,0,F,1,1,1,219,0,1
40,76,F,1,720,1,F,0,0,0,215,0,1
41,50,M,1,724,0,F,0,0,0,230,0,1
39,28,F,0,649,0,F,1,1,1,183,0,1
43,62,M,0,706,0,F,0,0,0,164,0,1
23,25,M,1,665,0,F,0,0,1,185,0,1
31,62,M,1,715,1,F,0,0,0,227,0,1
?,?,?,?,629,?,F,0,0,1,313,0,1
46,31,F,1,665,0,F,0,0,0,230,0,1
47,65,M,1,687,1,F,0,0,0,134,0,1
45,50,F,0,712,0,F,0,0,0,235,0,1
28,57,M,0,729,0,F,0,0,0,111,0,1
42,58,M,1,697,1,F,0,0,0,131,0,1
23,58,M,0,714,0,F,0,0,1,245,0,1
44,64,M,0,662,0,F,0,0,0,480,0,1
36,39,F,0,693,0,F,0,0,0,167,0,1
43,21,M,1,678,0,F,0,0,1,290,0,1
?,?,?,?,664,?,F,0,0,1,310,0,1
