@relation buy-weka.filters.unsupervised.attribute.Standardize

@attribute AGE numeric
@attribute INCOME numeric
@attribute GENDER {M,F}
@attribute MARRIED {0,1}
@attribute FICO numeric
@attribute OWNHOME {0,1}
@attribute LOCATION {A,B,C,D,E,F,G,H}
@attribute BUY6 numeric
@attribute BUY12 numeric
@attribute BUY18 numeric
@attribute VALUE24 numeric
@attribute MOVED {0,1}
@attribute class {0,1}

@data

-0.344976,-1.66316,F,1,-0.482605,0,G,2.428841,1.695199,0.949289,0.332032,0,1
0.251159,-0.030791,F,1,-1.250856,1,G,-0.379649,1.695199,0.949289,2.038087,0,1
0.747938,0.392416,M,1,-0.342923,0,G,-0.379649,-0.509996,2.584248,2.130619,0,1
0.350514,1.480662,M,1,-1.111174,0,G,2.428841,1.695199,0.949289,0.910356,0,1
1.443428,-0.514456,M,1,-0.238162,0,A,2.428841,1.695199,0.949289,1.193734,0,1
-0.046909,0.392416,M,1,0.56501,0,A,-0.379649,-0.509996,-0.685671,-1.038595,0,1
-1.139822,-1.058579,M,0,-1.4953,1,A,2.428841,1.695199,2.584248,-0.194242,0,1
-2.034024,1.359746,M,1,1.717386,1,A,-0.379649,-0.509996,-0.685671,-0.755216,0,1
-1.040466,-1.058579,M,0,-0.028639,0,A,-0.379649,-0.509996,-0.685671,-1.327757,0,1
-1.239178,0.331958,F,0,1.018976,0,A,-0.379649,-0.509996,-0.685671,-0.211592,0,1
0.44987,-0.333081,M,1,0.530089,0,A,2.428841,1.695199,0.949289,-0.992329,0,1
0.648582,0.331958,M,1,1.088817,0,A,-0.379649,-0.509996,-0.685671,-1.13691,0,1
0.151803,-0.333081,M,0,-0.936572,0,A,-0.379649,-0.509996,-0.685671,-0.327257,0,1
0.747938,-1.784076,F,1,-0.587367,0,A,-0.379649,-0.509996,-0.685671,-0.252075,0,1
-1.139822,-1.723618,F,1,-0.273082,0,A,-0.379649,-0.509996,-0.685671,-0.454488,1,1
0.052447,1.359746,M,1,-0.377844,0,A,2.428841,3.900395,2.584248,0.355165,0,1
0.350514,-0.091249,F,1,0.460248,0,A,2.428841,1.695199,0.949289,0.800474,0,1
-0.24562,-1.66316,F,1,-0.83181,0,A,2.428841,1.695199,0.949289,-0.622202,0,1
0.052447,0.634249,M,0,0.59993,0,A,-0.379649,-0.509996,-0.685671,0.962405,0,1
-1.139822,0.815623,M,0,0.495169,0,A,-0.379649,-0.509996,-0.685671,-1.258358,0,1
-1.239178,0.331958,F,0,-0.028639,0,A,-0.379649,-0.509996,-0.685671,-1.15426,0,1
-0.742399,0.876081,M,0,-0.517526,0,A,-0.379649,-0.509996,-0.685671,-0.51232,0,1
-0.841755,1.54112,M,0,-0.587367,0,A,-0.379649,1.695199,2.584248,2.47183,0,1
1.344072,1.057455,M,0,0.530089,0,A,-0.379649,-0.509996,-0.685671,-0.697384,0,1
0.747938,-0.574914,M,1,-2.577835,0,A,2.428841,1.695199,2.584248,0.765775,0,1
-1.636601,1.057455,F,1,-0.587367,0,A,-0.379649,-0.509996,-0.685671,-0.998112,0,1
0.648582,-1.300411,M,1,1.99675,0,A,-0.379649,-0.509996,-0.685671,0.2395,0,1
1.244716,0.029667,F,1,1.158658,0,A,-0.379649,-0.509996,-0.685671,-1.264141,0,1
2.238274,2.20616,M,0,-0.552446,0,A,-0.379649,-0.509996,-0.685671,-1.200526,0,1
0.151803,-0.212165,F,1,0.704692,0,A,2.428841,1.695199,0.949289,0.037087,0,1
1.145361,0.150584,F,1,-0.308003,0,A,-0.379649,-0.509996,-0.685671,-0.373523,0,1
-0.543688,1.420204,M,0,-1.914346,0,A,-0.379649,-0.509996,-0.685671,-0.963413,0,1
-1.43789,-1.300411,M,1,0.59993,0,E,5.237332,3.900395,2.584248,0.008171,0,1
1.145361,-0.393539,M,1,0.56501,0,E,-0.379649,-0.509996,-0.685671,-0.969196,0,1
-1.239178,-0.333081,F,0,-0.79689,0,E,-0.379649,-0.509996,-0.685671,-0.263641,0,1
0.052447,0.815623,M,1,-1.565141,0,E,-0.379649,-0.509996,-0.685671,-1.102211,0,1
0.747938,0.936539,M,1,-0.028639,1,E,2.428841,1.695199,2.584248,2.789908,0,1
0.052447,1.480662,F,1,0.495169,0,E,-0.379649,-0.509996,-0.685671,-0.813049,0,1
-0.24562,1.23883,M,1,-0.517526,1,E,-0.379649,-0.509996,-0.685671,0.939272,0,1
0.251159,-1.058579,M,1,-0.273082,1,E,-0.379649,-0.509996,-0.685671,-0.830398,0,1
-1.43789,1.23883,F,0,-0.1334,0,E,2.428841,1.695199,0.949289,-0.361956,0,1
-0.146264,-0.998121,F,1,-0.936572,0,E,-0.379649,-0.509996,-0.685671,-0.396656,0,1
1.145361,0.2715,F,1,0.285646,0,E,-0.379649,-0.509996,-0.685671,-0.74365,0,1
