@relation 'buy-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-R5,11'

@attribute AGE numeric
@attribute INCOME numeric
@attribute GENDER {M,F}
@attribute MARRIED {0,1}
@attribute FICO {'\'(-inf--2.304291]\'','\'(-2.304291--1.157735]\'','\'(-1.157735--0.011179]\'','\'(-0.011179-1.135378]\'','\'(1.135378-2.281934]\'','\'(2.281934-inf)\''}
@attribute OWNHOME {0,1}
@attribute LOCATION {A,B,C,D,E,F,G,H}
@attribute BUY6 numeric
@attribute BUY12 numeric
@attribute BUY18 numeric
@attribute VALUE24 {'\'(-inf--0.416897]\'','\'(-0.416897-0.505529]\'','\'(0.505529-1.427956]\'','\'(1.427956-2.350382]\'','\'(2.350382-3.272808]\'','\'(3.272808-inf)\''}
@attribute MOVED {0,1}
@attribute class {0,1}

@data

-0.344976,-1.66316,F,1,'\'(-1.157735--0.011179]\'',0,G,2.428841,1.695199,0.949289,'\'(-0.416897-0.505529]\'',0,1
0.251159,-0.030791,F,1,'\'(-2.304291--1.157735]\'',1,G,-0.379649,1.695199,0.949289,'\'(1.427956-2.350382]\'',0,1
0.747938,0.392416,M,1,'\'(-1.157735--0.011179]\'',0,G,-0.379649,-0.509996,2.584248,'\'(1.427956-2.350382]\'',0,1
0.350514,1.480662,M,1,'\'(-1.157735--0.011179]\'',0,G,2.428841,1.695199,0.949289,'\'(0.505529-1.427956]\'',0,1
1.443428,-0.514456,M,1,'\'(-1.157735--0.011179]\'',0,A,2.428841,1.695199,0.949289,'\'(0.505529-1.427956]\'',0,1
-0.046909,0.392416,M,1,'\'(-0.011179-1.135378]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
-1.139822,-1.058579,M,0,'\'(-2.304291--1.157735]\'',1,A,2.428841,1.695199,2.584248,'\'(-0.416897-0.505529]\'',0,1
-2.034024,1.359746,M,1,'\'(1.135378-2.281934]\'',1,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
-1.040466,-1.058579,M,0,'\'(-1.157735--0.011179]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
-1.239178,0.331958,F,0,'\'(-0.011179-1.135378]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(-0.416897-0.505529]\'',0,1
0.44987,-0.333081,M,1,'\'(-0.011179-1.135378]\'',0,A,2.428841,1.695199,0.949289,'\'(-inf--0.416897]\'',0,1
0.648582,0.331958,M,1,'\'(-0.011179-1.135378]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
0.151803,-0.333081,M,0,'\'(-1.157735--0.011179]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(-0.416897-0.505529]\'',0,1
0.747938,-1.784076,F,1,'\'(-1.157735--0.011179]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(-0.416897-0.505529]\'',0,1
-1.139822,-1.723618,F,1,'\'(-1.157735--0.011179]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',1,1
0.052447,1.359746,M,1,'\'(-1.157735--0.011179]\'',0,A,2.428841,3.900395,2.584248,'\'(-0.416897-0.505529]\'',0,1
0.350514,-0.091249,F,1,'\'(-0.011179-1.135378]\'',0,A,2.428841,1.695199,0.949289,'\'(0.505529-1.427956]\'',0,1
-0.24562,-1.66316,F,1,'\'(-1.157735--0.011179]\'',0,A,2.428841,1.695199,0.949289,'\'(-inf--0.416897]\'',0,1
0.052447,0.634249,M,0,'\'(-0.011179-1.135378]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(0.505529-1.427956]\'',0,1
-1.139822,0.815623,M,0,'\'(-0.011179-1.135378]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
-1.239178,0.331958,F,0,'\'(-1.157735--0.011179]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
-0.742399,0.876081,M,0,'\'(-1.157735--0.011179]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
-0.841755,1.54112,M,0,'\'(-1.157735--0.011179]\'',0,A,-0.379649,1.695199,2.584248,'\'(2.350382-3.272808]\'',0,1
1.344072,1.057455,M,0,'\'(-0.011179-1.135378]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
0.747938,-0.574914,M,1,'\'(-inf--2.304291]\'',0,A,2.428841,1.695199,2.584248,'\'(0.505529-1.427956]\'',0,1
-1.636601,1.057455,F,1,'\'(-1.157735--0.011179]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
0.648582,-1.300411,M,1,'\'(1.135378-2.281934]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(-0.416897-0.505529]\'',0,1
1.244716,0.029667,F,1,'\'(1.135378-2.281934]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
2.238274,2.20616,M,0,'\'(-1.157735--0.011179]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
0.151803,-0.212165,F,1,'\'(-0.011179-1.135378]\'',0,A,2.428841,1.695199,0.949289,'\'(-0.416897-0.505529]\'',0,1
1.145361,0.150584,F,1,'\'(-1.157735--0.011179]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(-0.416897-0.505529]\'',0,1
-0.543688,1.420204,M,0,'\'(-2.304291--1.157735]\'',0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
-1.43789,-1.300411,M,1,'\'(-0.011179-1.135378]\'',0,E,5.237332,3.900395,2.584248,'\'(-0.416897-0.505529]\'',0,1
1.145361,-0.393539,M,1,'\'(-0.011179-1.135378]\'',0,E,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
-1.239178,-0.333081,F,0,'\'(-1.157735--0.011179]\'',0,E,-0.379649,-0.509996,-0.685671,'\'(-0.416897-0.505529]\'',0,1
0.052447,0.815623,M,1,'\'(-2.304291--1.157735]\'',0,E,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
0.747938,0.936539,M,1,'\'(-1.157735--0.011179]\'',1,E,2.428841,1.695199,2.584248,'\'(2.350382-3.272808]\'',0,1
0.052447,1.480662,F,1,'\'(-0.011179-1.135378]\'',0,E,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
-0.24562,1.23883,M,1,'\'(-1.157735--0.011179]\'',1,E,-0.379649,-0.509996,-0.685671,'\'(0.505529-1.427956]\'',0,1
0.251159,-1.058579,M,1,'\'(-1.157735--0.011179]\'',1,E,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
-1.43789,1.23883,F,0,'\'(-1.157735--0.011179]\'',0,E,2.428841,1.695199,0.949289,'\'(-0.416897-0.505529]\'',0,1
-0.146264,-0.998121,F,1,'\'(-1.157735--0.011179]\'',0,E,-0.379649,-0.509996,-0.685671,'\'(-0.416897-0.505529]\'',0,1
1.145361,0.2715,F,1,'\'(-0.011179-1.135378]\'',0,E,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
-0.941111,0.936539,M,0,'\'(-2.304291--1.157735]\'',1,E,-0.379649,-0.509996,-0.685671,'\'(-0.416897-0.505529]\'',0,1
0.052447,-1.179495,M,1,'\'(-1.157735--0.011179]\'',0,E,-0.379649,-0.509996,-0.685671,'\'(-0.416897-0.505529]\'',0,1
0.052447,-1.179495,M,1,'\'(-1.157735--0.011179]\'',0,E,2.428841,1.695199,2.584248,'\'(1.427956-2.350382]\'',0,1
0.151803,-0.998121,F,1,'\'(-0.011179-1.135378]\'',0,E,-0.379649,1.695199,0.949289,'\'(-inf--0.416897]\'',0,1
-1.43789,-0.151707,F,1,'\'(-2.304291--1.157735]\'',0,E,-0.379649,1.695199,0.949289,'\'(-0.416897-0.505529]\'',0,1
-1.636601,-1.119037,M,1,'\'(1.135378-2.281934]\'',0,E,2.428841,1.695199,0.949289,'\'(-0.416897-0.505529]\'',0,1
-0.444332,0.392416,M,0,'\'(-2.304291--1.157735]\'',0,E,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
0.251159,0.513332,M,1,'\'(-1.157735--0.011179]\'',0,E,-0.379649,-0.509996,0.949289,'\'(-0.416897-0.505529]\'',0,1
0.44987,-1.300411,F,0,'\'(-1.157735--0.011179]\'',0,E,-0.379649,1.695199,0.949289,'\'(0.505529-1.427956]\'',0,1
0.151803,0.029667,F,1,'\'(-2.304291--1.157735]\'',0,E,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
?,?,?,?,'\'(-0.011179-1.135378]\'',?,E,-0.379649,-0.509996,0.949289,'\'(0.505529-1.427956]\'',0,1
-0.841755,-1.058579,M,1,'\'(-1.157735--0.011179]\'',0,E,-0.379649,-0.509996,-0.685671,'\'(-0.416897-0.505529]\'',0,1
-0.543688,0.392416,M,0,'\'(-2.304291--1.157735]\'',0,E,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
-2.431447,0.815623,M,0,'\'(1.135378-2.281934]\'',0,E,2.428841,1.695199,0.949289,'\'(-inf--0.416897]\'',0,1
0.151803,-0.212165,F,1,'\'(-0.011179-1.135378]\'',0,E,-0.379649,-0.509996,0.949289,'\'(-inf--0.416897]\'',0,1
0.151803,0.211042,F,0,'\'(-1.157735--0.011179]\'',0,E,-0.379649,-0.509996,0.949289,'\'(0.505529-1.427956]\'',0,1
-0.941111,-1.723618,F,0,'\'(-0.011179-1.135378]\'',0,E,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
0.549226,-0.635372,F,1,'\'(-1.157735--0.011179]\'',0,E,-0.379649,-0.509996,0.949289,'\'(-inf--0.416897]\'',0,1
-1.636601,0.815623,F,0,'\'(1.135378-2.281934]\'',0,E,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
-1.636601,0.634249,F,0,'\'(-1.157735--0.011179]\'',0,F,2.428841,1.695199,0.949289,'\'(-0.416897-0.505529]\'',0,1
0.151803,-0.091249,F,1,'\'(-1.157735--0.011179]\'',0,F,-0.379649,1.695199,0.949289,'\'(0.505529-1.427956]\'',0,1
-1.239178,1.299288,M,0,'\'(-0.011179-1.135378]\'',0,F,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
0.052447,-0.091249,M,1,'\'(1.135378-2.281934]\'',0,F,-0.379649,1.695199,0.949289,'\'(-inf--0.416897]\'',0,1
0.44987,1.117914,M,1,'\'(-1.157735--0.011179]\'',1,F,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',0,1
0.648582,0.815623,F,1,'\'(-1.157735--0.011179]\'',1,F,-0.379649,-0.509996,-0.685671,'\'(-inf--0.416897]\'',1,1
0.052447,1.23883,M,0,'\'(-0.011179-1.135378]\'',0,F,2.428841,1.695199,0.949289,'\'(0.505529-1.427956]\'',0,1
-0.146264,-0.574914,M,1,'\'(1.135378-2.281934]\'',0,F,-0.379649,1.695199,0.949289,'\'(-0.416897-0.505529]\'',0,1
