@relation buy-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R11

@attribute AGE numeric
@attribute INCOME numeric
@attribute GENDER {M,F}
@attribute MARRIED {0,1}
@attribute FICO numeric
@attribute OWNHOME {0,1}
@attribute LOCATION {A,B,C,D,E,F,G,H}
@attribute BUY6 numeric
@attribute BUY12 numeric
@attribute BUY18 numeric
@attribute VALUE24 {'\'(-inf--0.785867]\'','\'(-0.785867--0.232412]\'','\'(-0.232412-0.321044]\'','\'(0.321044-0.8745]\'','\'(0.8745-1.427955]\'','\'(1.427955-1.981411]\'','\'(1.981411-2.534867]\'','\'(2.534867-3.088323]\'','\'(3.088323-3.641778]\'','\'(3.641778-inf)\''}
@attribute MOVED {0,1}
@attribute class {0,1}

@data

-0.344976,-1.66316,F,1,-0.482605,0,G,2.428841,1.695199,0.949289,'\'(0.321044-0.8745]\'',0,1
0.251159,-0.030791,F,1,-1.250856,1,G,-0.379649,1.695199,0.949289,'\'(1.981411-2.534867]\'',0,1
0.747938,0.392416,M,1,-0.342923,0,G,-0.379649,-0.509996,2.584248,'\'(1.981411-2.534867]\'',0,1
0.350514,1.480662,M,1,-1.111174,0,G,2.428841,1.695199,0.949289,'\'(0.8745-1.427955]\'',0,1
1.443428,-0.514456,M,1,-0.238162,0,A,2.428841,1.695199,0.949289,'\'(0.8745-1.427955]\'',0,1
-0.046909,0.392416,M,1,0.56501,0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.785867]\'',0,1
-1.139822,-1.058579,M,0,-1.4953,1,A,2.428841,1.695199,2.584248,'\'(-0.232412-0.321044]\'',0,1
-2.034024,1.359746,M,1,1.717386,1,A,-0.379649,-0.509996,-0.685671,'\'(-0.785867--0.232412]\'',0,1
-1.040466,-1.058579,M,0,-0.028639,0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.785867]\'',0,1
-1.239178,0.331958,F,0,1.018976,0,A,-0.379649,-0.509996,-0.685671,'\'(-0.232412-0.321044]\'',0,1
0.44987,-0.333081,M,1,0.530089,0,A,2.428841,1.695199,0.949289,'\'(-inf--0.785867]\'',0,1
0.648582,0.331958,M,1,1.088817,0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.785867]\'',0,1
0.151803,-0.333081,M,0,-0.936572,0,A,-0.379649,-0.509996,-0.685671,'\'(-0.785867--0.232412]\'',0,1
0.747938,-1.784076,F,1,-0.587367,0,A,-0.379649,-0.509996,-0.685671,'\'(-0.785867--0.232412]\'',0,1
-1.139822,-1.723618,F,1,-0.273082,0,A,-0.379649,-0.509996,-0.685671,'\'(-0.785867--0.232412]\'',1,1
0.052447,1.359746,M,1,-0.377844,0,A,2.428841,3.900395,2.584248,'\'(0.321044-0.8745]\'',0,1
0.350514,-0.091249,F,1,0.460248,0,A,2.428841,1.695199,0.949289,'\'(0.321044-0.8745]\'',0,1
-0.24562,-1.66316,F,1,-0.83181,0,A,2.428841,1.695199,0.949289,'\'(-0.785867--0.232412]\'',0,1
0.052447,0.634249,M,0,0.59993,0,A,-0.379649,-0.509996,-0.685671,'\'(0.8745-1.427955]\'',0,1
-1.139822,0.815623,M,0,0.495169,0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.785867]\'',0,1
-1.239178,0.331958,F,0,-0.028639,0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.785867]\'',0,1
-0.742399,0.876081,M,0,-0.517526,0,A,-0.379649,-0.509996,-0.685671,'\'(-0.785867--0.232412]\'',0,1
-0.841755,1.54112,M,0,-0.587367,0,A,-0.379649,1.695199,2.584248,'\'(1.981411-2.534867]\'',0,1
1.344072,1.057455,M,0,0.530089,0,A,-0.379649,-0.509996,-0.685671,'\'(-0.785867--0.232412]\'',0,1
0.747938,-0.574914,M,1,-2.577835,0,A,2.428841,1.695199,2.584248,'\'(0.321044-0.8745]\'',0,1
-1.636601,1.057455,F,1,-0.587367,0,A,-0.379649,-0.509996,-0.685671,'\'(-inf--0.785867]\'',0,1
