@relation 'buy-weka.filters.unsupervised.attribute.InterquartileRange-R11-O3.0-E6.0-do-not-check-capabilities-weka.filters.unsupervised.instance.SubsetByExpression-EATT14 is \'no\'-weka.filters.unsupervised.attribute.Remove-R14-15'

@attribute AGE numeric
@attribute INCOME numeric
@attribute GENDER {M,F}
@attribute MARRIED {0,1}
@attribute FICO numeric
@attribute OWNHOME {0,1}
@attribute LOCATION {A,B,C,D,E,F,G,H}
@attribute BUY6 numeric
@attribute BUY12 numeric
@attribute BUY18 numeric
@attribute VALUE24 numeric
@attribute MOVED {0,1}
@attribute class {0,1}

@data
67,33,M,0,713,0,A,0,0,0,145,0,1
59,40,F,1,703,0,A,0,0,1,485,0,1
34,63,M,0,718,0,A,0,0,0,113,0,1
?,?,?,?,659,?,A,0,0,0,122,0,1
34,70,F,1,698,1,A,0,0,0,114,0,1
56,33,F,1,661,0,A,0,0,0,222,0,1
53,35,M,1,713,0,A,2,2,2,351,1,1
72,60,M,0,687,1,A,1,2,2,437,0,1
26,29,M,0,686,1,A,0,0,0,141,0,1
67,47,M,1,615,0,A,0,1,1,451,0,1
30,71,M,0,709,0,A,0,1,1,356,0,1
41,17,F,1,732,0,A,1,1,1,464,0,1
51,65,M,0,686,0,A,0,0,0,136,0,1
50,38,F,1,684,0,A,0,0,1,365,0,1
43,30,M,1,675,0,A,0,0,0,125,0,1
46,61,M,1,669,0,A,0,0,0,250,0,1
27,68,F,1,718,1,A,1,1,1,470,0,1
67,44,M,1,700,1,A,0,0,0,158,0,1
44,52,F,1,661,0,A,0,0,0,184,0,1
54,64,M,1,650,0,A,0,0,1,483,0,1
61,42,F,1,738,0,A,0,0,0,145,0,1
29,65,F,0,655,0,B,0,0,1,275,0,1
45,32,F,1,701,0,B,1,1,2,212,0,1
53,30,M,1,717,0,B,0,0,0,135,0,1
48,43,F,1,688,0,B,0,0,0,182,0,1
45,33,M,1,711,0,B,0,0,0,99,0,1
50,55,F,1,702,0,B,0,0,0,202,0,1
19,62,F,1,673,0,B,1,1,1,425,0,1
50,21,M,1,675,0,B,0,0,0,410,0,1
39,24,F,0,697,0,B,1,1,1,390,0,1
46,53,F,1,728,0,B,0,1,1,497,0,1
44,33,F,1,685,0,B,0,0,1,399,0,1
42,32,M,0,639,0,B,0,0,1,279,0,1
23,56,M,0,650,0,B,1,1,1,126,0,1
45,37,M,0,659,0,B,0,0,0,233,0,1
36,67,M,0,681,0,B,0,0,0,110,0,1
44,23,M,1,697,0,B,0,0,0,140,0,1
46,30,M,0,635,0,B,0,0,0,130,0,1
34,63,M,0,682,0,B,0,0,0,191,0,1
25,44,F,0,707,1,B,0,1,2,345,0,1
36,38,M,0,693,1,B,0,0,0,186,0,1
46,23,M,0,674,0,B,0,0,0,149,0,1
51,39,M,1,675,0,B,0,0,0,114,0,1
55,54,F,1,684,0,B,0,0,1,371,0,1
37,17,M,0,729,0,B,0,0,1,346,0,1
35,41,M,0,667,1,B,0,0,1,327,0,1
32,65,F,1,667,1,B,0,0,0,239,0,1
?,?,?,?,651,?,B,0,0,1,503,0,1
37,19,F,0,703,0,B,0,0,0,171,0,1
32,44,F,1,700,0,B,0,0,0,131,0,1
29,32,M,1,723,0,B,0,0,1,221,0,1
43,35,F,1,691,0,B,0,0,0,170,0,1
29,30,F,0,717,0,B,0,0,1,233,0,1
55,44,F,1,670,0,B,0,0,0,133,0,1
30,71,F,0,704,0,B,0,0,0,169,1,1
40,70,M,1,709,0,B,0,1,1,234,0,1
31,30,F,0,714,0,B,0,0,0,120,0,1
35,39,F,0,699,0,B,1,1,1,503,0,1
56,74,F,1,691,0,B,0,0,0,109,0,1
33,67,F,0,696,0,B,0,0,1,140,1,1
59,69,M,1,693,0,B,0,0,0,224,0,1
33,54,M,0,724,0,B,0,0,0,78,0,1
44,32,M,1,645,0,B,0,0,0,108,0,1
55,37,M,1,699,0,B,0,0,0,212,0,1
46,40,M,1,682,1,B,0,0,0,249,0,1
40,27,F,1,663,0,B,1,1,1,339,0,1
39,38,M,1,676,1,B,0,0,0,211,0,1
26,38,F,0,687,0,B,0,0,0,231,0,1
24,29,F,0,700,0,B,0,0,0,254,0,1
53,55,M,1,693,0,B,0,0,0,121,0,1
55,71,M,1,656,1,B,0,0,1,226,0,1
47,28,M,1,702,0,B,1,1,1,255,0,1
32,31,M,0,729,1,B,0,0,0,160,0,1
37,53,F,1,646,0,B,0,0,0,83,0,1
50,55,M,1,710,0,B,0,0,0,94,0,1
32,29,F,0,709,0,B,0,0,0,137,0,1
49,19,M,1,707,0,B,0,0,0,191,0,1
26,61,M,0,676,0,B,0,0,1,260,1,1
34,26,F,1,723,0,B,0,0,0,250,0,1
45,33,M,1,668,0,B,0,0,1,351,0,1
46,26,M,1,699,0,B,0,1,1,503,0,1
43,58,M,1,696,0,B,1,1,2,599,0,1
40,69,F,1,666,0,B,1,1,2,757,0,1
33,31,F,0,708,0,B,1,1,1,419,0,1
42,49,F,1,670,1,B,0,0,0,119,0,1
30,66,M,1,725,1,B,0,0,0,233,0,1
45,46,F,1,746,0,B,0,0,0,111,0,1
29,58,M,0,695,0,B,1,1,1,163,0,1
37,67,M,0,642,0,B,1,2,2,524,0,1
45,34,F,1,606,0,B,0,0,0,156,0,1
43,53,M,1,681,0,B,0,0,1,443,0,1
33,51,F,0,674,1,B,1,1,1,346,0,1
?,?,?,?,710,?,B,1,1,1,406,0,1
41,63,M,1,743,0,B,0,0,0,230,0,1
31,63,M,0,720,0,B,0,0,1,428,0,1
51,68,M,1,719,0,B,0,0,0,214,0,1
47,67,M,1,704,1,B,0,0,1,407,0,1
59,29,M,1,671,0,B,0,1,1,395,0,1
42,31,F,1,704,1,B,0,0,0,156,0,1
44,48,M,1,712,0,B,0,0,1,225,0,1
54,20,M,1,677,1,B,0,0,0,139,0,1
47,76,M,1,717,0,B,1,1,1,445,0,1
52,72,M,1,697,0,B,0,0,0,132,0,1
41,29,F,1,672,0,B,0,0,0,146,0,1
?,?,?,?,645,?,B,0,0,0,117,0,1
54,45,M,0,675,0,B,0,0,0,191,0,1
32,68,F,0,704,0,B,0,0,0,69,0,1
34,70,M,0,683,0,B,0,0,0,167,0,1
50,34,M,1,716,0,B,1,1,2,434,0,1
22,40,F,0,677,1,B,2,2,2,208,0,1
37,57,F,1,727,0,B,1,1,1,385,0,1
43,58,M,1,656,0,B,0,0,0,86,0,1
48,36,F,1,727,0,B,0,0,0,154,0,1
65,50,F,1,708,0,B,0,0,0,63,0,1
42,36,M,1,693,0,B,0,0,0,241,0,1
48,34,M,1,735,0,B,0,0,1,401,0,1
